Study area,Region,Area,Point,Distance
Point Transect Example,Stratum 1,0,1,8.4
Point Transect Example,Stratum 1,0,2,13.79
Point Transect Example,Stratum 1,0,2,20.96
Point Transect Example,Stratum 1,0,3,4.93
Point Transect Example,Stratum 1,0,3,3.87
Point Transect Example,Stratum 1,0,3,13.35
Point Transect Example,Stratum 1,0,3,5.87
Point Transect Example,Stratum 1,0,3,13.87
Point Transect Example,Stratum 1,0,4,11.61
Point Transect Example,Stratum 1,0,4,12.79
Point Transect Example,Stratum 1,0,4,17.01
Point Transect Example,Stratum 1,0,4,5.92
Point Transect Example,Stratum 1,0,4,11.81
Point Transect Example,Stratum 1,0,4,14.78
Point Transect Example,Stratum 1,0,5,19.1
Point Transect Example,Stratum 1,0,5,7.53
Point Transect Example,Stratum 1,0,5,24.72
Point Transect Example,Stratum 1,0,5,10.95
Point Transect Example,Stratum 1,0,6,9.07
Point Transect Example,Stratum 1,0,6,7.61
Point Transect Example,Stratum 1,0,6,9.03
Point Transect Example,Stratum 1,0,6,15.44
Point Transect Example,Stratum 1,0,6,34.16
Point Transect Example,Stratum 1,0,6,16.95
Point Transect Example,Stratum 1,0,6,9.04
Point Transect Example,Stratum 1,0,6,9.52
Point Transect Example,Stratum 1,0,6,15.67
Point Transect Example,Stratum 1,0,7,13.63
Point Transect Example,Stratum 1,0,7,5.95
Point Transect Example,Stratum 1,0,7,12.04
Point Transect Example,Stratum 1,0,7,10.17
Point Transect Example,Stratum 1,0,7,14.2
Point Transect Example,Stratum 1,0,7,4.94
Point Transect Example,Stratum 1,0,7,19.27
Point Transect Example,Stratum 1,0,8,13.74
Point Transect Example,Stratum 1,0,8,12.76
Point Transect Example,Stratum 1,0,8,1.76
Point Transect Example,Stratum 1,0,8,13.59
Point Transect Example,Stratum 1,0,8,4.03
Point Transect Example,Stratum 1,0,9,9.87
Point Transect Example,Stratum 1,0,9,12.28
Point Transect Example,Stratum 1,0,9,10.58
Point Transect Example,Stratum 1,0,10,3.89
Point Transect Example,Stratum 1,0,10,18.4
Point Transect Example,Stratum 1,0,10,15.33
Point Transect Example,Stratum 1,0,10,17.64
Point Transect Example,Stratum 1,0,11,8.45
Point Transect Example,Stratum 1,0,12,6.35
Point Transect Example,Stratum 1,0,12,5.8
Point Transect Example,Stratum 1,0,12,9.96
Point Transect Example,Stratum 1,0,12,14.02
Point Transect Example,Stratum 1,0,12,12.68
Point Transect Example,Stratum 1,0,12,8.01
Point Transect Example,Stratum 1,0,12,15.64
Point Transect Example,Stratum 1,0,12,13.04
Point Transect Example,Stratum 1,0,13,5.16
Point Transect Example,Stratum 1,0,13,2.64
Point Transect Example,Stratum 1,0,13,2.93
Point Transect Example,Stratum 1,0,13,23.4
Point Transect Example,Stratum 1,0,13,21.27
Point Transect Example,Stratum 1,0,14,24.63
Point Transect Example,Stratum 1,0,14,13.3
Point Transect Example,Stratum 1,0,14,20.52
Point Transect Example,Stratum 1,0,14,26.87
Point Transect Example,Stratum 1,0,15,26.63
Point Transect Example,Stratum 1,0,15,19.31
Point Transect Example,Stratum 1,0,15,4.88
Point Transect Example,Stratum 1,0,16,16
Point Transect Example,Stratum 1,0,16,17.44
Point Transect Example,Stratum 1,0,16,5.29
Point Transect Example,Stratum 1,0,16,17.99
Point Transect Example,Stratum 1,0,16,13.46
Point Transect Example,Stratum 1,0,16,10.36
Point Transect Example,Stratum 1,0,16,10.02
Point Transect Example,Stratum 1,0,17,4.54
Point Transect Example,Stratum 1,0,17,12.01
Point Transect Example,Stratum 1,0,17,4.64
Point Transect Example,Stratum 1,0,17,6.97
Point Transect Example,Stratum 1,0,18,9.75
Point Transect Example,Stratum 1,0,18,17
Point Transect Example,Stratum 1,0,18,8.4
Point Transect Example,Stratum 1,0,18,12.94
Point Transect Example,Stratum 1,0,19,9.71
Point Transect Example,Stratum 1,0,19,9.11
Point Transect Example,Stratum 1,0,19,8.57
Point Transect Example,Stratum 1,0,19,16.72
Point Transect Example,Stratum 1,0,19,3.63
Point Transect Example,Stratum 1,0,19,9.78
Point Transect Example,Stratum 1,0,20,7.98
Point Transect Example,Stratum 1,0,20,15.23
Point Transect Example,Stratum 1,0,20,9.28
Point Transect Example,Stratum 1,0,20,15.12
Point Transect Example,Stratum 1,0,20,7.2
Point Transect Example,Stratum 1,0,20,4.93
Point Transect Example,Stratum 1,0,20,11.92
Point Transect Example,Stratum 1,0,21,16.62
Point Transect Example,Stratum 1,0,21,24.99
Point Transect Example,Stratum 1,0,21,11.82
Point Transect Example,Stratum 1,0,21,17.44
Point Transect Example,Stratum 1,0,21,17.08
Point Transect Example,Stratum 1,0,21,9.16
Point Transect Example,Stratum 1,0,21,2.79
Point Transect Example,Stratum 1,0,22,14.09
Point Transect Example,Stratum 1,0,22,17.6
Point Transect Example,Stratum 1,0,22,12.51
Point Transect Example,Stratum 1,0,22,15.65
Point Transect Example,Stratum 1,0,22,15.97
Point Transect Example,Stratum 1,0,22,14.97
Point Transect Example,Stratum 1,0,22,18.93
Point Transect Example,Stratum 1,0,22,16.9
Point Transect Example,Stratum 1,0,22,26.06
Point Transect Example,Stratum 1,0,23,5.56
Point Transect Example,Stratum 1,0,23,17.24
Point Transect Example,Stratum 1,0,23,5.61
Point Transect Example,Stratum 1,0,23,14.44
Point Transect Example,Stratum 1,0,24,21.1
Point Transect Example,Stratum 1,0,24,15.26
Point Transect Example,Stratum 1,0,24,18.79
Point Transect Example,Stratum 1,0,24,9.05
Point Transect Example,Stratum 1,0,25,7.36
Point Transect Example,Stratum 1,0,25,12.01
Point Transect Example,Stratum 1,0,25,14.96
Point Transect Example,Stratum 1,0,25,16.91
Point Transect Example,Stratum 1,0,25,8.3
Point Transect Example,Stratum 1,0,26,9.51
Point Transect Example,Stratum 1,0,26,11.09
Point Transect Example,Stratum 1,0,27,12.27
Point Transect Example,Stratum 1,0,27,23.59
Point Transect Example,Stratum 1,0,27,4.58
Point Transect Example,Stratum 1,0,27,10.43
Point Transect Example,Stratum 1,0,27,19.42
Point Transect Example,Stratum 1,0,28,13.6
Point Transect Example,Stratum 1,0,28,5.56
Point Transect Example,Stratum 1,0,29,9.55
Point Transect Example,Stratum 1,0,29,13.31
Point Transect Example,Stratum 1,0,29,10.05
Point Transect Example,Stratum 1,0,29,10.55
Point Transect Example,Stratum 1,0,29,0.61
Point Transect Example,Stratum 1,0,29,14.4
Point Transect Example,Stratum 1,0,29,4.89
Point Transect Example,Stratum 1,0,29,5.58
Point Transect Example,Stratum 1,0,29,1.65
Point Transect Example,Stratum 1,0,30,19.94
Point Transect Example,Stratum 1,0,30,18.59
